id	node1	node1;label	label	label;label	node2	node2;label	node2;wikidatatype	id	node1	node1;label	label	label;label	node2	node2;label	node2;wikidatatype
Q155-P2936-Q12953681-4b23502d-0	Q155	'Brazil'@en	P2936	'language used'@en	Q12953681	'Machinere'@en	wikibase-item								
Q155-P2936-Q3275059-53498541-0	Q155	'Brazil'@en	P2936	'language used'@en	Q3275059	'Macuna'@en	wikibase-item								
Q155-P2936-Q56633-2b783526-0	Q155	'Brazil'@en	P2936	'language used'@en	Q56633	'Macushi'@en	wikibase-item								
Q155-P2936-Q3281037-93d42117-0	Q155	'Brazil'@en	P2936	'language used'@en	Q3281037	'Makurap'@en	wikibase-item								
Q155-P2936-Q3284890-dc945ed8-0	Q155	'Brazil'@en	P2936	'language used'@en	Q3284890	'Mamaindê'@en	wikibase-item								
Q155-P2936-Q6753812-1a6af976-0	Q155	'Brazil'@en	P2936	'language used'@en	Q6753812	'Mapidian'@en	wikibase-item								
Q155-P2936-Q6765915-165a0af1-0	Q155	'Brazil'@en	P2936	'language used'@en	Q6765915	'Maritsauá'@en	wikibase-item								
Q155-P2936-Q3296011-eeb33530-0	Q155	'Brazil'@en	P2936	'language used'@en	Q3296011	'Marúbo'@en	wikibase-item								
Q155-P2936-Q6787588-d24cbc00-0	Q155	'Brazil'@en	P2936	'language used'@en	Q6787588	'Matipuhy'@en	wikibase-item								
Q155-P2936-Q3299145-670931c6-0	Q155	'Brazil'@en	P2936	'language used'@en	Q3299145	'Matis'@en	wikibase-item								
Q155-P2936-Q3446660-d164d2ef-0	Q155	'Brazil'@en	P2936	'language used'@en	Q3446660	'Mato Grosso Arára'@en	wikibase-item								
Q155-P2936-Q2981620-02084f4d-0	Q155	'Brazil'@en	P2936	'language used'@en	Q2981620	'Matsés'@en	wikibase-item								
Q155-P2936-Q6794475-140effd7-0	Q155	'Brazil'@en	P2936	'language used'@en	Q6794475	'Mawé'@en	wikibase-item								
Q155-P2936-Q3029682-2773d8f5-0	Q155	'Brazil'@en	P2936	'language used'@en	Q3029682	'Maxakalí'@en	wikibase-item								
Q155-P2936-Q3915584-e1c9047a-0	Q155	'Brazil'@en	P2936	'language used'@en	Q3915584	'Mbyá Guaraní'@en	wikibase-item								
Q155-P2936-Q3501838-b0d1aa9a-0	Q155	'Brazil'@en	P2936	'language used'@en	Q3501838	'Mehinaku'@en	wikibase-item								
Q155-P2936-Q6873567-adb5dfce-0	Q155	'Brazil'@en	P2936	'language used'@en	Q6873567	'Miriti'@en	wikibase-item								
Q155-P2936-Q6898840-015048ae-0	Q155	'Brazil'@en	P2936	'language used'@en	Q6898840	'Mondé'@en	wikibase-item								
Q155-P2936-Q12953749-989a19dc-0	Q155	'Brazil'@en	P2936	'language used'@en	Q12953749	'Morerebi'@en	wikibase-item								
Q155-P2936-Q746723-ec2b99c9-0	Q155	'Brazil'@en	P2936	'language used'@en	Q746723	'Munduruku'@en	wikibase-item								
Q155-P2936-Q2032882-307347fa-0	Q155	'Brazil'@en	P2936	'language used'@en	Q2032882	'Máku'@en	wikibase-item								
Q155-P2936-Q3101212-26c546e9-0	Q155	'Brazil'@en	P2936	'language used'@en	Q3101212	'Mẽbêngôkre'@en	wikibase-item								
Q155-P2936-Q3335011-dd54eafa-0	Q155	'Brazil'@en	P2936	'language used'@en	Q3335011	'Nadëb'@en	wikibase-item								
Q155-P2936-Q2068190-e8e34f72-0	Q155	'Brazil'@en	P2936	'language used'@en	Q2068190	'Nambikwara'@en	wikibase-item								
Q155-P2936-Q34333-2211888c-0	Q155	'Brazil'@en	P2936	'language used'@en	Q34333	'Nheengatu'@en	wikibase-item								
Q155-P2936-Q3436586-94c05674-0	Q155	'Brazil'@en	P2936	'language used'@en	Q3436586	'Ninam'@en	wikibase-item								
Q155-P2936-Q3346231-02ce10a7-0	Q155	'Brazil'@en	P2936	'language used'@en	Q3346231	'Nukuini'@en	wikibase-item								
Q155-P2936-Q3446691-c3530ee5-0	Q155	'Brazil'@en	P2936	'language used'@en	Q3446691	'Ofayé'@en	wikibase-item								
Q155-P2936-Q3450423-8e6fa7fd-0	Q155	'Brazil'@en	P2936	'language used'@en	Q3450423	'Oro Win'@en	wikibase-item								
Q155-P2936-Q3357881-836e3c7a-0	Q155	'Brazil'@en	P2936	'language used'@en	Q3357881	'Oti'@en	wikibase-item								
Q155-P2936-Q7110049-4acdc5a0-0	Q155	'Brazil'@en	P2936	'language used'@en	Q7110049	'Otuke'@en	wikibase-item								
Q155-P2936-Q3073448-e86207d7-0	Q155	'Brazil'@en	P2936	'language used'@en	Q3073448	'Palikúr'@en	wikibase-item								
Q155-P2936-Q3361895-790b5121-0	Q155	'Brazil'@en	P2936	'language used'@en	Q3361895	'Panara'@en	wikibase-item								
Q155-P2936-Q25559779-fddc8a2f-0	Q155	'Brazil'@en	P2936	'language used'@en	Q25559779	'Pankararé'@en	wikibase-item								
Q155-P2936-Q7131310-a40f49b9-0	Q155	'Brazil'@en	P2936	'language used'@en	Q7131310	'Pankararú'@en	wikibase-item								
Q155-P2936-Q12953804-c893dd82-0	Q155	'Brazil'@en	P2936	'language used'@en	Q12953804	'Parakanã'@en	wikibase-item								
Q155-P2936-Q12953806-4e10749f-0	Q155	'Brazil'@en	P2936	'language used'@en	Q12953806	'Paranawát'@en	wikibase-item								
Q155-P2936-Q3504312-3dbe677f-0	Q155	'Brazil'@en	P2936	'language used'@en	Q3504312	'Paresí'@en	wikibase-item								
Q155-P2936-Q56807-31abbb6c-0	Q155	'Brazil'@en	P2936	'language used'@en	Q56807	'Pará Arára'@en	wikibase-item								
Q155-P2936-Q3365443-80c285a1-0	Q155	'Brazil'@en	P2936	'language used'@en	Q3365443	'Pará Gavião'@en	wikibase-item								
Q155-P2936-Q7144304-fa861cb8-0	Q155	'Brazil'@en	P2936	'language used'@en	Q7144304	'Pataxó'@en	wikibase-item								
Q155-P2936-Q389827-ca13e627-0	Q155	'Brazil'@en	P2936	'language used'@en	Q389827	'Paumarí'@en	wikibase-item								
Q155-P2936-Q10729616-527ee895-0	Q155	'Brazil'@en	P2936	'language used'@en	Q10729616	'Pemon'@en	wikibase-item								
Q155-P2936-Q33825-a98464e1-0	Q155	'Brazil'@en	P2936	'language used'@en	Q33825	'Pirahã'@en	wikibase-item								
Q155-P2936-Q3389119-3fcf5c5e-0	Q155	'Brazil'@en	P2936	'language used'@en	Q3389119	'Piratapuyo'@en	wikibase-item								
Q155-P2936-Q25559704-4252ae79-0	Q155	'Brazil'@en	P2936	'language used'@en	Q25559704	'Pokangá'@en	wikibase-item								
Q155-P2936-Q5146-2115a55a-0	Q155	'Brazil'@en	P2936	'language used'@en	Q5146	'Portuguese'@en	wikibase-item								
Q155-P2936-Q56722-a5f1755f-0	Q155	'Brazil'@en	P2936	'language used'@en	Q56722	'Potiguára'@en	wikibase-item								
