node1	label	node2
Q108865218	reachable	Q4117775
Q108865218	reachable	Q4145971
Q108865218	reachable	Q6086288
Q108865218	reachable	Q3934817
Q108865218	reachable	Q3934837
Q108865218	reachable	Q3934822
Q108865218	reachable	Q3736239
Q108865218	reachable	Q3808910
Q108865218	reachable	Q3936690
Q108865218	reachable	Q2261321
Q108865218	reachable	Q3043596
Q108865218	reachable	Q1264808
Q108865218	reachable	Q975405
Q108865226	reachable	Q7075820
Q108865226	reachable	Q1162983
Q108865226	reachable	Q12216996
Q108865226	reachable	Q12216998
Q108865226	reachable	Q12216999
Q108865226	reachable	Q12217001
Q108865226	reachable	Q12217003
Q108865226	reachable	Q12217004
Q108865226	reachable	Q12217005
Q108865226	reachable	Q1372503
Q108865226	reachable	Q1493892
Q108865226	reachable	Q15712629
Q108865226	reachable	Q15715196
Q108865226	reachable	Q16120426
Q108865226	reachable	Q2014671
Q108865226	reachable	Q3326429
Q108865226	reachable	Q3948374
Q108865226	reachable	Q4117775
Q108865226	reachable	Q4145971
Q108865226	reachable	Q6086288
Q108865226	reachable	Q3934817
Q108865226	reachable	Q3934837
Q108865226	reachable	Q3934822
Q108865226	reachable	Q3736239
Q108865226	reachable	Q3808910
Q108865226	reachable	Q3936690
Q108865226	reachable	Q2261321
Q108865226	reachable	Q3043596
Q108865226	reachable	Q1264808
Q108865226	reachable	Q975405
Q108868572	reachable	Q108868568
Q108868572	reachable	Q139708
Q108868572	reachable	Q130802
Q108868572	reachable	Q146740
Q108868572	reachable	Q146880
Q108868572	reachable	Q12183911
Q108868572	reachable	Q25432445
Q108868572	reachable	Q146562
Q108868572	reachable	Q146872
Q108868572	reachable	Q7075820
Q108868572	reachable	Q1162983
Q108868572	reachable	Q12216996
Q108868572	reachable	Q12216998
Q108868572	reachable	Q12216999
Q108868572	reachable	Q12217001
Q108868572	reachable	Q12217003
Q108868572	reachable	Q12217004
Q108868572	reachable	Q12217005
Q108868572	reachable	Q1372503
Q108868572	reachable	Q1493892
Q108868572	reachable	Q15712629
Q108868572	reachable	Q15715196
Q108868572	reachable	Q16120426
Q108868572	reachable	Q2014671
Q108868572	reachable	Q3326429
Q108868572	reachable	Q3948374
Q108868572	reachable	Q4117775
Q108868572	reachable	Q4145971
Q108868572	reachable	Q6086288
Q108868572	reachable	Q3934817
Q108868572	reachable	Q3934837
Q108868572	reachable	Q3934822
Q108868572	reachable	Q3736239
Q108868572	reachable	Q3808910
Q108868572	reachable	Q3936690
Q108868572	reachable	Q2261321
Q108868572	reachable	Q3043596
Q108868572	reachable	Q1264808
Q108868572	reachable	Q975405
Q108868568	reachable	Q130802
Q108868568	reachable	Q146740
