id	node1	node1;label	label	label;label	node2	node2;label
Q45670-P1365-Q199688-33fd9675-0-P585-ckgT1	Q45670-P1365-Q199688-33fd9675-0-P585		ckgr9	ckg:Context Type	ckgT1	Temporal
Q45670-P1365-Q199688-33fd9675-0	Q45670	'Kingdom of Portugal'@en	P1365	'replaces'@en	Q199688	'Almohad Caliphate'@en
Q45670-P1365-Q199688-33fd9675-0-P828	Q45670-P1365-Q199688-33fd9675-0		P828	'has cause'@en	unknown	
Q45670-P1365-Q199688-33fd9675-0-P828-ckgP1	Q45670-P1365-Q199688-33fd9675-0-P828		ckgr9	ckg:Context Type	ckgP1	Provenance
Q582861-P1365-Q199688-4bcd5af2-0	Q582861	'Marinid Dynasty'@en	P1365	'replaces'@en	Q199688	'Almohad Caliphate'@en
Q582861-P1365-Q199688-4bcd5af2-0-P580	Q582861-P1365-Q199688-4bcd5af2-0		P580	'start time'@en	unknown	
Q582861-P1365-Q199688-4bcd5af2-0-P580-ckgT1	Q582861-P1365-Q199688-4bcd5af2-0-P580		ckgr9	ckg:Context Type	ckgT1	Temporal
Q582861-P1365-Q199688-4bcd5af2-0	Q582861	'Marinid Dynasty'@en	P1365	'replaces'@en	Q199688	'Almohad Caliphate'@en
Q582861-P1365-Q199688-4bcd5af2-0-P585	Q582861-P1365-Q199688-4bcd5af2-0		P585	'point in time'@en	unknown	
Q582861-P1365-Q199688-4bcd5af2-0-P585-ckgT1	Q582861-P1365-Q199688-4bcd5af2-0-P585		ckgr9	ckg:Context Type	ckgT1	Temporal
Q582861-P1365-Q199688-4bcd5af2-0	Q582861	'Marinid Dynasty'@en	P1365	'replaces'@en	Q199688	'Almohad Caliphate'@en
Q582861-P1365-Q199688-4bcd5af2-0-P828	Q582861-P1365-Q199688-4bcd5af2-0		P828	'has cause'@en	unknown	
Q582861-P1365-Q199688-4bcd5af2-0-P828-ckgP1	Q582861-P1365-Q199688-4bcd5af2-0-P828		ckgr9	ckg:Context Type	ckgP1	Provenance
Q75613-P1365-Q205708-537b2af0-0	Q75613	'Almoravid dynasty'@en	P1365	'replaces'@en	Q205708	'Taifa of Granada'@en
Q75613-P1365-Q205708-537b2af0-0-P580	Q75613-P1365-Q205708-537b2af0-0		P580	'start time'@en	unknown	
Q75613-P1365-Q205708-537b2af0-0-P580-ckgT1	Q75613-P1365-Q205708-537b2af0-0-P580		ckgr9	ckg:Context Type	ckgT1	Temporal
Q75613-P1365-Q205708-537b2af0-0	Q75613	'Almoravid dynasty'@en	P1365	'replaces'@en	Q205708	'Taifa of Granada'@en
Q75613-P1365-Q205708-537b2af0-0-P585	Q75613-P1365-Q205708-537b2af0-0		P585	'point in time'@en	unknown	
Q75613-P1365-Q205708-537b2af0-0-P585-ckgT1	Q75613-P1365-Q205708-537b2af0-0-P585		ckgr9	ckg:Context Type	ckgT1	Temporal
Q75613-P1365-Q205708-537b2af0-0	Q75613	'Almoravid dynasty'@en	P1365	'replaces'@en	Q205708	'Taifa of Granada'@en
Q75613-P1365-Q205708-537b2af0-0-P828	Q75613-P1365-Q205708-537b2af0-0		P828	'has cause'@en	unknown	
Q75613-P1365-Q205708-537b2af0-0-P828-ckgP1	Q75613-P1365-Q205708-537b2af0-0-P828		ckgr9	ckg:Context Type	ckgP1	Provenance
Q160307-P1365-Q207600-f82e8f77-0	Q160307	'Fatimid Caliphate'@en	P1365	'replaces'@en	Q207600	'Aghlabids'@en
Q160307-P1365-Q207600-f82e8f77-0-P580	Q160307-P1365-Q207600-f82e8f77-0		P580	'start time'@en	unknown	
Q160307-P1365-Q207600-f82e8f77-0-P580-ckgT1	Q160307-P1365-Q207600-f82e8f77-0-P580		ckgr9	ckg:Context Type	ckgT1	Temporal
Q160307-P1365-Q207600-f82e8f77-0	Q160307	'Fatimid Caliphate'@en	P1365	'replaces'@en	Q207600	'Aghlabids'@en
Q160307-P1365-Q207600-f82e8f77-0-P585	Q160307-P1365-Q207600-f82e8f77-0		P585	'point in time'@en	unknown	
Q160307-P1365-Q207600-f82e8f77-0-P585-ckgT1	Q160307-P1365-Q207600-f82e8f77-0-P585		ckgr9	ckg:Context Type	ckgT1	Temporal
Q160307-P1365-Q207600-f82e8f77-0	Q160307	'Fatimid Caliphate'@en	P1365	'replaces'@en	Q207600	'Aghlabids'@en
Q160307-P1365-Q207600-f82e8f77-0-P828	Q160307-P1365-Q207600-f82e8f77-0		P828	'has cause'@en	unknown	
Q160307-P1365-Q207600-f82e8f77-0-P828-ckgP1	Q160307-P1365-Q207600-f82e8f77-0-P828		ckgr9	ckg:Context Type	ckgP1	Provenance
